config_id,kernel,c,gamma,degree,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,5,10,43958,4884,25.9229519367218,4.132303237915039,30.05525517463684,0.8425470925470926,0.799166877562383,0.7383164435171122,0.7606402189483441,0.8340793184281569,0.8425470925470926,0.8336884212338223,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3486, 230], [539, 629]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,6,10,43958,4884,26.0680832862854,4.145713806152344,30.213797092437744,0.8415233415233415,0.7946545738210246,0.7422294422882748,0.7622663551401869,0.8332220859639137,0.8415233415233415,0.8338224853995881,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3465, 250], [524, 645]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,7,10,43958,4884,26.224753856658936,4.156106233596802,30.380860090255737,0.846027846027846,0.8062391308412962,0.7414844360558562,0.7649884515209593,0.8380401491271585,0.846027846027846,0.8369857936421403,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3500, 216], [536, 632]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,8,10,43958,4884,22.50713348388672,4.149677038192749,26.656810522079468,0.8454135954135954,0.8041109480184239,0.7422548918412788,0.7649978742600778,0.8373513603882586,0.8454135954135954,0.8367162003010868,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3493, 223], [532, 636]]}"
svm-rbf-c1-g0.1-d3,rbf,1,0.1,3,9,10,43957,4885,26.143335580825806,4.1598875522613525,30.303223133087158,0.8440122824974411,0.7997328056619122,0.7443288355132232,0.7652979977785601,0.8359330204214436,0.8440122824974411,0.8361102475521734,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3476, 239], [523, 647]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,0,10,43958,4884,14.610435962677002,3.529860019683838,18.14029598236084,0.8521703521703522,0.8122543752144302,0.7571425117463593,0.7783952722957264,0.8451430733794066,0.8521703521703522,0.8450494076260305,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3490, 225], [497, 672]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,1,10,43959,4883,14.811935901641846,3.5204665660858154,18.33240246772766,0.8476346508294081,0.8052892692442128,0.7495971533398478,0.770817120622568,0.8400023966653563,0.8476346508294081,0.8400262643922255,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3483, 232], [512, 656]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,2,10,43957,4885,14.755995988845825,3.5324532985687256,18.28844928741455,0.849539406345957,0.8071808119962993,0.7549890142756899,0.7752914081738421,0.8422842384436712,0.849539406345957,0.842585266916019,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3479, 236], [499, 671]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,3,10,43958,4884,14.72127890586853,3.5482654571533203,18.26954436302185,0.8490990990990991,0.8064005855054032,0.7537762471061829,0.7741908387115148,0.8417468534185732,0.8490990990990991,0.8420423308791526,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3480, 236], [501, 667]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,4,10,43957,4885,14.859180212020874,3.5427792072296143,18.40195941925049,0.8466734902763562,0.8003032411956368,0.7546903732132844,0.7729185830018789,0.839397919914138,0.8466734902763562,0.8403947858855333,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3460, 256], [493, 676]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,5,10,43958,4884,14.567065715789795,3.505746364593506,18.0728120803833,0.8490990990990991,0.8085375362707878,0.7502539002020143,0.7722534808379207,0.8415992323957197,0.8490990990990991,0.8412709765479957,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3492, 224], [513, 655]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,6,10,43958,4884,14.56850528717041,3.484597682952881,18.05310297012329,0.8431613431613432,0.7966112144004643,0.7459442967554604,0.7655536418439246,0.8351657452479586,0.8431613431613432,0.8358700858133722,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3464, 251], [515, 654]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,7,10,43958,4884,14.854400634765625,3.521747350692749,18.376147985458374,0.847051597051597,0.804712043959565,0.7480277806449711,0.7694940732204767,0.8393115248057798,0.847051597051597,0.8392493046788935,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3485, 231], [516, 652]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,8,10,43958,4884,14.851873397827148,3.4974734783172607,18.34934687614441,0.8482800982800983,0.8082763307844774,0.7473674558001682,0.77002457002457,0.8406349338253796,0.8482800982800983,0.8400123151965905,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3496, 220], [521, 647]]}"
svm-rbf-c10-g0.01-d3,rbf,10,0.01,3,9,10,43957,4885,14.66968584060669,3.481466054916382,18.15115189552307,0.8479017400204708,0.8056631179492243,0.7506919280808917,0.7717195106449928,0.8403508537257077,0.8479017400204708,0.8404238953936078,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3482, 233], [510, 660]]}"
svm-rbf-c10-g0.1-d3,rbf,10,0.1,3,0,10,43958,4884,48.203285217285156,3.96779465675354,52.171079874038696,0.8384520884520884,0.7828823279849926,0.7548669244859636,0.7669705149799252,0.8322819823667056,0.8384520884520884,0.8342503989208225,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3400, 315], [474, 695]]}"
svm-rbf-c10-g0.1-d3,rbf,10,0.1,3,1,10,43959,4883,48.65469741821289,3.9800596237182617,52.63475704193115,0.8459963137415524,0.7960321699671912,0.7605536376039381,0.7754464755279309,0.8395096807951029,0.8459963137415524,0.8410988094446622,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3434, 281], [471, 697]]}"
svm-rbf-c10-g0.1-d3,rbf,10,0.1,3,2,10,43957,4885,48.660890340805054,3.9992406368255615,52.660130977630615,0.8460593654042988,0.7953928080540211,0.7632403860533066,0.7769604664503252,0.8399646671817282,0.8460593654042988,0.8416374424848463,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3426, 289], [463, 707]]}"
svm-rbf-c10-g0.1-d3,rbf,10,0.1,3,3,10,43958,4884,48.930375814437866,4.056758403778076,52.98713421821594,0.8454135954135954,0.7937855345787357,0.7630954443576095,0.7762790728997792,0.8394303295153153,0.8454135954135954,0.8411611220214011,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3422, 294], [461, 707]]}"
